farm_id,timestamp,temperature_c,sunlight_hours,color_intensity,ph,nutrients_mg_l,co2_ppm,dissolved_oxygen_mg_l,water_quality_index,current_biomass_kg_m2,future_biomass_kg_m2
1,2025-01-20,27.42,7.22,251.243,7.334,72.861,452.994,10.321,87.568,3.7111,3.7827
1,2025-01-21,28.037,7.82,241.742,7.719,73.289,440.848,10.601,84.364,3.7827,3.8623
1,2025-01-22,29.528,8.011,253.574,7.404,79.175,338.284,10.202,89.556,3.8623,3.8966
1,2025-01-23,27.677,8.402,249.812,7.678,68.276,390.315,9.858,87.369,3.8966,3.9012
1,2025-01-24,27.05,7.96,255.0,7.54,57.111,360.635,10.364,86.899,3.9012,3.9422
1,2025-01-25,29.404,8.115,255.0,7.202,63.656,361.078,10.731,84.89,3.9422,3.9717
1,2025-01-26,30.773,9.565,255.0,7.127,62.126,295.811,11.038,88.214,3.9717,3.9699
1,2025-01-27,27.834,6.776,238.118,7.206,55.719,324.493,9.655,87.411,3.9699,3.9497
1,2025-01-28,30.889,7.406,255.0,6.997,75.147,442.342,9.805,86.267,3.9497,4.0091
1,2025-01-29,28.075,8.163,255.0,7.297,64.592,326.847,10.613,84.375,4.0091,4.0288
1,2025-01-30,29.616,7.973,255.0,7.209,,346.525,10.746,87.741,4.0288,4.035
1,2025-01-31,30.032,8.321,255.0,7.474,71.498,357.358,10.401,85.025,4.035,4.0721
1,2025-02-01,30.527,7.194,255.0,7.242,63.356,309.385,10.025,88.3,4.0721,4.081
1,2025-02-02,30.263,8.266,255.0,7.088,70.32,264.335,10.613,87.812,4.081,4.0863
1,2025-02-03,28.908,,250.768,7.363,49.283,391.695,10.766,87.753,4.0863,4.1051
1,2025-02-04,32.23,8.902,255.0,7.362,68.418,385.316,11.791,88.902,4.1051,4.1171
1,2025-02-05,31.223,8.032,255.0,7.233,52.239,406.805,10.529,90.532,4.1171,4.1797
1,2025-02-06,32.066,7.445,253.962,7.055,52.744,371.509,11.03,88.851,4.1797,4.1627
1,2025-02-07,31.497,7.719,255.0,6.965,63.737,440.813,10.747,81.383,4.1627,4.1754
1,2025-02-08,31.954,9.727,255.0,6.738,,432.024,10.665,90.38,4.1754,4.2024
1,2025-02-09,30.992,9.189,255.0,7.332,64.793,430.478,11.257,85.63,4.2024,4.227
1,2025-02-10,31.918,9.344,255.0,6.984,63.27,484.755,10.87,85.079,4.227,4.262
1,2025-02-11,31.471,9.598,255.0,7.369,71.123,462.363,12.366,87.327,4.262,4.3342
1,2025-02-12,30.887,8.766,255.0,7.493,55.188,408.416,10.224,85.76,4.3342,4.371
1,2025-02-13,31.474,7.725,255.0,6.888,68.031,443.925,10.683,88.729,4.371,4.4002
1,2025-02-14,31.257,9.108,255.0,7.224,67.697,474.297,11.468,86.602,4.4002,4.4204
1,2025-02-15,30.729,9.34,255.0,7.041,61.222,421.092,10.153,85.577,4.4204,4.4312
1,2025-02-16,30.862,9.543,255.0,7.688,71.178,524.352,11.336,85.303,4.4312,4.433
1,2025-02-17,29.604,,255.0,7.641,85.077,430.959,11.025,84.917,4.433,4.474
1,2025-02-18,28.509,9.474,255.0,7.433,70.651,442.546,10.969,88.994,4.474,4.5318
1,2025-02-19,30.578,,255.0,7.524,65.375,516.268,11.247,90.486,4.5318,4.5721
1,2025-02-20,30.48,10.231,255.0,7.999,77.475,481.754,12.088,84.734,4.5721,4.5981
1,2025-02-21,30.404,8.302,255.0,7.374,63.69,432.641,10.529,87.148,4.5981,4.6545
1,2025-02-22,29.136,9.148,255.0,7.617,77.341,472.318,11.395,86.727,4.6545,4.6759
1,2025-02-23,30.163,10.742,255.0,7.755,90.399,461.743,12.095,87.155,4.6759,4.7083
1,2025-02-24,30.697,8.346,255.0,7.853,88.89,462.88,10.627,88.239,4.7083,4.763
1,2025-02-25,28.593,8.726,255.0,7.386,71.632,488.313,11.329,86.159,4.763,4.7351
1,2025-02-26,30.083,10.673,255.0,7.828,78.854,446.629,11.1,86.424,4.7351,4.7721
1,2025-02-27,31.657,9.237,255.0,7.868,78.485,451.046,11.89,84.622,4.7721,4.8271
1,2025-02-28,30.944,9.996,255.0,7.66,93.875,413.26,11.614,91.356,4.8271,4.8464
1,2025-03-01,30.976,9.346,255.0,7.443,88.385,378.869,11.722,81.848,4.8464,4.8365
1,2025-03-02,30.897,9.219,255.0,7.671,82.226,381.525,11.24,84.904,4.8365,4.8828
1,2025-03-03,32.406,9.451,255.0,7.729,98.167,373.982,11.115,85.392,4.8828,4.8724
1,2025-03-04,31.417,9.027,255.0,7.703,84.045,340.983,11.467,89.2,4.8724,4.8797
1,2025-03-05,33.116,9.223,255.0,7.345,82.825,368.734,10.745,88.222,4.8797,4.928
1,2025-03-06,34.046,8.929,255.0,7.63,65.897,312.118,10.886,84.725,4.928,4.9841
1,2025-03-07,31.811,8.533,255.0,7.562,93.37,304.249,10.952,92.147,4.9841,4.9739
1,2025-03-08,32.706,8.768,255.0,7.619,82.978,280.9,11.178,86.021,4.9739,4.9705
1,2025-03-09,32.585,9.524,255.0,7.562,83.496,281.669,11.528,84.986,4.9705,4.9493
1,2025-03-10,33.705,8.593,255.0,7.145,84.321,348.47,10.591,90.997,4.9493,4.9583
1,2025-03-11,33.512,8.736,255.0,7.412,74.458,326.677,11.544,85.212,4.9583,5.0079
1,2025-03-12,35.725,8.897,255.0,6.932,74.807,333.835,10.918,84.142,5.0079,5.0225
1,2025-03-13,31.567,9.681,255.0,7.605,76.907,336.444,11.293,89.062,5.0225,5.0494
1,2025-03-14,32.516,10.496,255.0,7.163,86.054,,11.987,88.236,5.0494,5.0686
1,2025-03-15,33.931,8.985,255.0,6.852,72.899,329.876,10.889,86.632,5.0686,5.0311
1,2025-03-16,32.991,8.855,255.0,6.663,77.146,379.481,10.664,83.231,5.0311,5.0425
1,2025-03-17,34.669,9.524,255.0,7.167,69.119,408.009,11.567,90.509,5.0425,5.0371
1,2025-03-18,31.583,9.792,255.0,7.345,65.733,374.782,11.548,87.179,5.0371,5.0015
1,2025-03-19,31.021,8.698,255.0,6.643,60.896,368.347,10.824,89.329,5.0015,4.9794
1,2025-03-20,31.595,9.988,255.0,6.876,60.022,430.891,,88.568,4.9794,5.0065
1,2025-03-21,30.451,9.252,255.0,7.012,56.711,367.552,11.472,86.351,5.0065,5.0172
1,2025-03-22,32.486,7.67,255.0,6.786,57.678,484.045,10.579,88.678,5.0172,4.9936
1,2025-03-23,31.721,9.313,255.0,7.166,61.842,452.704,11.262,89.411,4.9936,4.9712
1,2025-03-24,28.99,9.978,255.0,7.299,55.145,387.129,11.535,90.116,4.9712,5.0137
1,2025-03-25,30.879,8.657,255.0,7.112,59.454,424.91,11.817,91.858,5.0137,5.0084
1,2025-03-26,32.171,9.734,255.0,7.22,69.692,489.648,11.713,89.142,5.0084,4.9852
1,2025-03-27,31.513,8.9,255.0,6.945,72.257,533.483,11.617,87.713,4.9852,5.0011
1,2025-03-28,31.789,8.527,255.0,7.286,60.598,431.384,10.814,87.482,5.0011,5.0408
1,2025-03-29,31.791,9.469,255.0,,58.599,441.45,11.193,85.779,5.0408,5.0716
1,2025-03-30,32.395,8.046,255.0,7.281,66.99,517.06,11.083,87.752,5.0716,5.0619
1,2025-03-31,32.591,9.564,255.0,7.583,67.876,474.288,10.744,86.735,5.0619,5.0764
1,2025-04-01,31.921,9.477,255.0,7.309,56.091,487.048,11.084,88.329,5.0764,5.0675
1,2025-04-02,32.268,10.306,255.0,7.24,46.132,406.585,11.651,87.66,5.0675,5.1098
1,2025-04-03,30.315,9.577,255.0,7.778,53.659,452.539,10.971,85.015,5.1098,5.1683
1,2025-04-04,35.04,9.064,255.0,7.885,62.544,519.919,11.037,87.243,5.1683,5.2519
1,2025-04-05,34.237,8.803,255.0,7.76,60.63,432.91,11.37,87.243,5.2519,5.2582
1,2025-04-06,33.864,9.594,255.0,7.276,68.811,406.207,10.668,87.455,5.2582,5.2496
1,2025-04-07,34.454,8.354,255.0,7.587,61.137,428.72,10.885,84.95,5.2496,5.2568
1,2025-04-08,31.775,7.92,255.0,,64.857,416.003,10.551,87.932,5.2568,5.2451
1,2025-04-09,32.484,8.523,255.0,,76.365,393.561,9.709,82.946,5.2451,5.2438
1,2025-04-10,33.184,,255.0,7.677,76.299,374.065,10.802,88.544,5.2438,5.2658
1,2025-04-11,33.58,9.176,255.0,8.031,65.942,459.207,11.028,83.505,5.2658,5.2445
1,2025-04-12,32.563,9.553,255.0,7.85,67.307,411.59,11.82,90.644,5.2445,5.2915
1,2025-04-13,31.231,9.047,255.0,7.592,73.866,347.776,10.996,92.263,5.2915,5.3243
1,2025-04-14,32.644,9.316,255.0,7.741,77.526,400.348,11.934,88.022,5.3243,5.3106
1,2025-04-15,32.53,9.915,255.0,7.88,77.194,383.614,11.683,90.0,5.3106,5.3151
1,2025-04-16,32.682,7.198,255.0,7.772,51.45,286.71,10.443,88.384,5.3151,5.3026
1,2025-04-17,33.445,8.903,255.0,8.08,78.187,357.305,11.734,86.941,5.3026,5.3047
1,2025-04-18,31.775,8.279,255.0,7.597,74.136,373.017,10.741,86.825,5.3047,5.3281
1,2025-04-19,32.184,8.526,255.0,7.418,88.099,325.581,10.199,88.951,5.3281,5.3069
1,2025-04-20,31.583,9.732,255.0,7.632,85.717,291.935,11.528,86.719,5.3069,5.3483
1,2025-04-21,32.656,10.463,255.0,7.756,81.33,356.198,12.053,87.522,5.3483,5.3841
1,2025-04-22,30.985,8.686,255.0,7.398,87.208,348.355,11.062,89.582,5.3841,5.4286
1,2025-04-23,31.338,8.322,255.0,7.684,79.799,296.24,10.275,84.836,5.4286,5.4371
1,2025-04-24,30.589,9.609,255.0,7.437,85.902,375.805,11.601,82.586,5.4371,5.4127
1,2025-04-25,30.978,9.16,255.0,7.515,92.236,377.046,10.897,88.916,5.4127,5.4438
1,2025-04-26,31.994,,255.0,7.425,88.742,346.005,11.381,89.581,5.4438,5.4442
1,2025-04-27,30.257,8.763,255.0,7.333,77.232,404.962,10.384,87.302,5.4442,5.5336
1,2025-04-28,29.886,10.156,255.0,7.221,86.565,404.519,11.771,87.237,5.5336,5.5558
1,2025-04-29,32.571,8.661,255.0,7.146,75.797,427.268,11.548,87.212,5.5558,5.5397
1,2025-04-30,31.406,7.984,255.0,6.96,84.354,468.439,11.857,85.639,5.5397,5.5585
1,2025-05-01,31.689,9.387,255.0,7.108,82.865,418.612,10.595,83.505,5.5585,5.5679
1,2025-05-02,31.448,9.075,255.0,7.219,82.549,420.007,11.636,91.518,5.5679,5.6142
1,2025-05-03,33.477,9.845,255.0,7.171,84.548,470.411,10.936,89.175,5.6142,5.6062
1,2025-05-04,33.708,9.626,255.0,7.32,77.422,420.109,11.223,87.939,5.6062,5.6447
1,2025-05-05,32.179,9.268,255.0,6.872,81.345,467.518,10.833,86.335,5.6447,5.6465
1,2025-05-06,34.408,8.936,255.0,7.011,62.298,441.671,10.903,85.394,5.6465,5.6457
1,2025-05-07,33.975,9.031,255.0,7.074,75.082,477.109,11.837,81.435,5.6457,5.638
1,2025-05-08,32.699,9.453,255.0,7.171,71.689,515.002,11.717,87.906,5.638,5.6589
1,2025-05-09,32.068,9.44,255.0,7.13,73.031,531.541,10.145,83.847,5.6589,5.6661
1,2025-05-10,32.266,7.878,255.0,6.963,65.627,564.925,11.356,86.055,5.6661,5.6461
1,2025-05-11,30.452,8.832,255.0,6.995,69.693,420.14,10.632,87.57,5.6461,5.6705
1,2025-05-12,30.833,9.493,255.0,7.07,73.375,471.377,10.653,86.531,5.6705,5.7048
1,2025-05-13,31.766,9.947,255.0,7.439,65.845,492.086,12.346,92.718,5.7048,5.7052
1,2025-05-14,33.113,8.114,255.0,7.065,62.992,473.247,10.605,85.618,5.7052,5.6939
1,2025-05-15,30.447,10.431,255.0,7.405,71.43,432.934,11.61,86.134,5.6939,5.6896
1,2025-05-16,29.202,7.238,255.0,7.185,73.413,439.022,10.838,88.604,5.6896,5.6888
1,2025-05-17,31.222,9.302,255.0,7.345,67.073,450.167,10.939,84.997,5.6888,5.712
1,2025-05-18,30.72,8.215,255.0,7.501,66.283,441.259,11.395,90.929,5.712,5.7768
1,2025-05-19,29.577,9.479,255.0,7.555,58.664,345.389,11.188,83.776,5.7768,5.8343
1,2025-05-20,29.056,8.937,255.0,7.455,56.545,424.833,11.004,92.219,5.8343,5.8842
1,2025-05-21,29.733,9.26,255.0,7.544,60.138,383.054,10.791,89.343,5.8842,5.9207
1,2025-05-22,30.999,9.694,255.0,,62.786,,11.373,86.064,5.9207,5.9459
1,2025-05-23,29.12,9.491,255.0,7.299,45.921,395.631,11.298,88.412,5.9459,5.9617
1,2025-05-24,31.268,9.209,255.0,7.745,56.946,345.753,10.186,87.925,5.9617,5.9334
1,2025-05-25,28.581,7.797,255.0,7.559,60.551,279.636,10.785,89.581,5.9334,5.8859
1,2025-05-26,28.273,9.446,255.0,7.245,58.055,305.732,11.613,86.024,5.8859,5.9159
1,2025-05-27,31.177,8.416,255.0,7.817,50.553,384.688,10.445,85.751,5.9159,5.8862
1,2025-05-28,29.679,9.21,255.0,7.801,50.431,336.331,11.478,82.533,5.8862,5.9201
1,2025-05-29,29.86,8.796,255.0,8.074,65.575,363.039,12.178,86.196,5.9201,5.9399
1,2025-05-30,30.188,8.113,255.0,7.539,79.331,352.524,10.321,89.975,5.9399,5.9546
1,2025-05-31,30.481,7.551,255.0,7.767,77.536,360.169,10.229,85.998,5.9546,5.9631
1,2025-06-01,29.71,9.07,255.0,7.364,71.265,334.961,11.251,85.066,5.9631,6.0136
1,2025-06-02,31.205,7.342,255.0,7.792,69.238,297.984,10.293,88.109,6.0136,6.0267
1,2025-06-03,30.671,9.407,255.0,7.826,47.581,350.35,11.159,82.772,6.0267,6.0669
1,2025-06-04,29.397,8.584,255.0,7.399,64.251,421.657,10.618,89.113,6.0669,6.1353
1,2025-06-05,31.149,8.193,255.0,7.623,60.428,420.811,10.541,86.993,6.1353,6.1338
1,2025-06-06,31.259,8.472,255.0,7.59,71.601,407.611,10.624,93.134,6.1338,6.1818
1,2025-06-07,31.899,7.668,255.0,7.826,80.0,434.367,10.463,86.574,6.1818,6.2021
1,2025-06-08,31.846,8.364,255.0,7.212,80.159,443.582,11.058,89.409,6.2021,6.1917
1,2025-06-09,29.438,7.064,255.0,7.37,75.129,406.874,8.849,84.784,6.1917,6.1901
1,2025-06-10,30.477,7.206,255.0,7.539,75.981,443.055,11.289,91.466,6.1901,6.1938
1,2025-06-11,29.556,8.508,255.0,7.217,75.434,494.321,10.777,93.372,6.1938,6.2623
1,2025-06-12,29.964,8.796,255.0,7.064,73.355,468.313,11.403,87.437,6.2623,6.2429
1,2025-06-13,27.873,6.856,255.0,7.177,88.242,459.968,9.068,87.117,6.2429,6.3127
1,2025-06-14,27.514,7.79,255.0,7.431,84.443,487.126,10.557,88.754,6.3127,6.3197
1,2025-06-15,29.51,7.073,255.0,7.156,83.349,451.398,10.173,85.959,6.3197,6.3261
1,2025-06-16,27.188,8.23,255.0,6.868,87.755,435.625,10.449,85.457,6.3261,6.3443
1,2025-06-17,27.75,,255.0,6.681,83.002,549.248,10.805,86.868,6.3443,6.3731
1,2025-06-18,25.656,6.767,255.0,7.09,78.685,525.908,9.903,82.535,6.3731,6.3156
1,2025-06-19,27.141,7.783,255.0,6.974,91.474,520.864,10.426,81.87,6.3156,6.3444
1,2025-06-20,27.445,8.571,255.0,6.846,98.061,442.567,11.194,82.767,6.3444,6.3923
1,2025-06-21,26.68,8.442,255.0,7.11,83.187,519.484,10.692,82.986,6.3923,6.4241
1,2025-06-22,27.191,6.727,255.0,6.955,79.615,453.04,9.408,85.604,6.4241,6.4516
1,2025-06-23,27.511,7.691,,7.039,84.28,429.959,9.945,84.985,6.4516,6.4345
1,2025-06-24,26.823,8.273,255.0,6.854,82.943,442.354,10.877,86.95,6.4345,6.4111
1,2025-06-25,26.698,8.452,255.0,6.776,84.513,482.214,10.734,88.214,6.4111,6.4155
1,2025-06-26,25.101,6.06,255.0,7.384,74.392,414.407,9.103,84.36,6.4155,6.406
1,2025-06-27,27.193,7.987,255.0,7.315,82.03,474.845,10.114,87.686,6.406,6.4596
1,2025-06-28,25.516,7.421,255.0,7.548,82.881,415.492,10.241,86.7,6.4596,6.468
1,2025-06-29,27.039,7.663,255.0,7.229,81.918,499.725,9.649,88.474,6.468,6.5006
1,2025-06-30,27.283,8.111,255.0,7.612,78.328,426.718,9.595,91.574,6.5006,6.5458
1,2025-07-01,26.172,6.965,255.0,7.475,75.584,,10.622,83.397,6.5458,6.5577
1,2025-07-02,27.332,6.486,255.0,7.587,57.48,390.471,9.247,87.777,6.5577,6.5956
1,2025-07-03,27.479,6.999,,7.451,81.932,378.333,9.976,87.301,6.5956,6.6189
1,2025-07-04,25.99,7.98,255.0,7.609,88.361,314.086,10.545,92.06,6.6189,6.6137
1,2025-07-05,28.027,7.424,255.0,7.676,65.397,343.905,9.622,87.841,6.6137,6.6173
1,2025-07-06,26.195,8.084,255.0,7.726,63.863,333.203,9.962,84.796,6.6173,6.6561
1,2025-07-07,27.128,7.809,255.0,7.593,69.377,335.716,10.907,86.289,6.6561,6.6318
1,2025-07-08,27.142,6.455,255.0,7.788,63.135,423.124,9.123,87.784,6.6318,6.6271
1,2025-07-09,27.669,5.671,255.0,7.775,78.543,325.214,9.669,89.876,6.6271,6.62
1,2025-07-10,25.055,7.717,255.0,7.724,57.049,348.284,10.21,86.007,6.62,6.5925
1,2025-07-11,28.137,6.259,255.0,7.631,76.616,387.708,9.861,85.23,6.5925,6.6053
1,2025-07-12,26.847,7.143,255.0,7.743,60.788,303.699,9.982,89.635,6.6053,6.6075
1,2025-07-13,25.68,7.254,255.0,7.67,71.89,379.191,9.674,89.123,6.6075,6.6023
1,2025-07-14,26.482,6.802,255.0,7.885,55.523,348.285,9.765,85.667,6.6023,6.6231
1,2025-07-15,27.536,8.703,255.0,7.518,60.978,338.255,10.566,86.199,6.6231,6.6079
1,2025-07-16,25.34,6.234,255.0,7.827,53.751,487.984,9.602,87.331,6.6079,6.6563
1,2025-07-17,26.273,7.263,255.0,7.401,61.494,361.127,10.927,89.97,6.6563,6.604
1,2025-07-18,23.861,7.507,255.0,7.824,67.784,355.622,10.514,89.651,6.604,6.6085
1,2025-07-19,24.841,6.785,255.0,7.231,57.897,410.818,9.987,86.192,6.6085,6.6132
1,2025-07-20,24.771,6.753,255.0,7.446,61.134,365.672,10.253,87.819,6.6132,6.6435
1,2025-07-21,22.184,5.555,255.0,7.522,60.899,448.926,9.292,89.267,6.6435,6.6578
1,2025-07-22,23.734,5.432,255.0,7.563,70.106,474.783,9.048,89.263,6.6578,6.7015
1,2025-07-23,23.03,6.719,255.0,7.51,62.697,421.331,10.21,89.099,6.7015,6.7108
1,2025-07-24,23.611,7.884,255.0,7.165,59.051,467.794,10.943,83.702,6.7108,6.664
1,2025-07-25,23.916,6.037,255.0,7.211,68.775,450.514,9.821,86.789,6.664,6.6804
1,2025-07-26,23.252,6.673,255.0,7.424,67.984,428.083,10.298,85.104,6.6804,6.7104
1,2025-07-27,24.333,6.873,255.0,7.157,71.154,466.358,10.199,89.632,6.7104,6.7008
1,2025-07-28,22.98,5.99,255.0,6.828,72.76,543.299,10.337,82.754,6.7008,6.7379
1,2025-07-29,23.871,6.778,255.0,6.763,70.821,441.691,10.14,82.826,6.7379,6.7651
1,2025-07-30,23.709,5.884,255.0,6.709,68.432,455.791,8.95,87.76,6.7651,6.7391
1,2025-07-31,24.104,7.402,255.0,7.184,70.752,493.418,9.808,87.575,6.7391,6.7331
1,2025-08-01,25.249,6.078,255.0,7.152,76.895,363.731,10.271,79.852,6.7331,6.7634
1,2025-08-02,24.631,5.571,255.0,6.855,81.576,391.287,10.015,86.78,6.7634,6.7509
1,2025-08-03,24.036,7.177,255.0,7.182,63.679,435.926,9.841,90.723,6.7509,6.7955
1,2025-08-04,25.087,5.731,255.0,6.933,71.378,395.966,9.622,84.003,6.7955,6.7884
1,2025-08-05,23.34,5.992,255.0,6.903,72.102,500.385,9.722,87.58,6.7884,6.7739
1,2025-08-06,25.331,5.776,255.0,7.249,70.913,409.6,9.335,88.059,6.7739,6.7722
1,2025-08-07,24.802,5.953,255.0,7.197,82.035,405.556,9.485,89.53,6.7722,6.7697
1,2025-08-08,25.013,7.63,255.0,6.899,86.682,331.465,10.531,90.946,6.7697,6.7774
1,2025-08-09,24.17,6.439,255.0,7.13,76.596,376.951,9.987,85.48,6.7774,6.7471
1,2025-08-10,24.898,6.774,255.0,7.256,89.527,380.106,10.225,88.408,6.7471,6.7411
1,2025-08-11,26.461,6.052,255.0,7.138,86.342,376.592,9.091,90.289,6.7411,6.7198
1,2025-08-12,25.146,6.782,255.0,7.076,96.13,382.621,10.047,91.307,6.7198,6.7256
1,2025-08-13,22.986,6.728,255.0,7.437,84.025,324.941,10.086,87.608,6.7256,6.6925
1,2025-08-14,23.891,4.476,255.0,7.437,80.653,392.82,8.792,89.459,6.6925,6.6989
1,2025-08-15,23.743,5.951,255.0,7.628,76.965,353.334,10.093,89.112,6.6989,6.6842
1,2025-08-16,21.32,5.556,255.0,7.615,87.173,344.244,8.995,89.329,6.6842,6.7146
1,2025-08-17,25.271,6.486,255.0,7.647,79.85,276.655,9.648,84.741,6.7146,6.7628
1,2025-08-18,22.434,6.474,255.0,7.53,81.557,374.844,9.899,88.926,6.7628,6.7571
1,2025-08-19,20.541,4.802,255.0,7.578,82.488,298.838,9.146,87.59,6.7571,6.7349
1,2025-08-20,22.189,6.437,255.0,7.452,82.396,384.035,10.246,87.493,6.7349,6.722
1,2025-08-21,22.135,6.282,255.0,7.803,81.283,382.825,,89.06,6.722,6.704
1,2025-08-22,19.797,7.205,255.0,7.761,67.323,336.477,10.59,86.405,6.704,6.7396
1,2025-08-23,20.55,5.547,255.0,7.771,80.926,387.32,9.906,87.605,6.7396,6.7339
1,2025-08-24,21.702,6.161,255.0,7.783,82.388,398.852,9.792,85.098,6.7339,6.7349
1,2025-08-25,21.922,7.611,255.0,7.656,78.66,427.045,10.469,93.202,6.7349,6.7462
1,2025-08-26,21.06,5.802,255.0,7.793,80.302,411.545,10.178,,6.7462,6.815
1,2025-08-27,22.415,5.527,255.0,7.615,66.423,444.122,9.323,87.765,6.815,6.8353
1,2025-08-28,21.359,5.26,255.0,7.765,75.859,433.913,9.003,88.838,6.8353,6.8233
1,2025-08-29,21.458,6.906,255.0,7.817,74.522,476.556,11.373,82.78,6.8233,6.8094
1,2025-08-30,21.75,5.224,255.0,7.622,60.428,454.696,9.374,88.616,6.8094,6.8258
1,2025-08-31,22.416,7.447,255.0,7.685,54.604,417.14,9.568,87.362,6.8258,6.8161
1,2025-09-01,24.969,6.331,255.0,7.736,59.878,425.467,9.865,87.736,6.8161,6.8161
1,2025-09-02,23.111,5.78,255.0,7.418,61.446,461.22,9.642,89.333,6.8161,6.8116
1,2025-09-03,22.743,6.222,255.0,7.63,,500.632,10.241,90.658,6.8116,6.7929
1,2025-09-04,23.271,5.909,255.0,7.455,58.611,424.982,9.701,85.838,6.7929,6.7758
1,2025-09-05,22.167,,255.0,7.452,66.344,555.841,9.848,88.945,6.7758,6.7465
1,2025-09-06,24.808,5.228,255.0,7.188,61.275,476.83,8.946,86.76,6.7465,6.7301
1,2025-09-07,21.739,6.521,255.0,7.416,56.601,423.54,9.599,87.647,6.7301,6.7058
1,2025-09-08,22.908,6.321,255.0,6.852,67.721,434.761,9.994,87.477,6.7058,6.7209
1,2025-09-09,20.431,5.287,255.0,7.261,58.81,488.466,9.734,89.043,6.7209,6.6755
1,2025-09-10,22.131,6.116,255.0,6.998,64.438,497.626,9.809,79.441,6.6755,6.724
1,2025-09-11,21.789,4.425,255.0,7.379,60.113,497.212,9.116,88.923,6.724,6.7428
1,2025-09-12,24.342,6.483,255.0,6.84,63.303,490.003,10.458,85.815,6.7428,6.7682
1,2025-09-13,24.357,5.268,255.0,7.006,58.345,423.42,8.97,80.274,6.7682,6.7792
1,2025-09-14,21.012,7.138,255.0,7.078,69.986,439.501,10.584,87.909,6.7792,6.7817
1,2025-09-15,21.735,6.031,255.0,7.009,64.388,497.826,9.592,88.156,6.7817,6.8113
1,2025-09-16,21.007,4.097,255.0,7.145,46.758,460.106,8.92,89.83,6.8113,6.7728
1,2025-09-17,21.045,5.734,255.0,6.962,63.755,494.586,9.956,89.626,6.7728,6.8105
1,2025-09-18,20.424,4.312,255.0,7.021,69.827,353.153,8.861,85.362,6.8105,6.8295
1,2025-09-19,21.142,6.178,255.0,7.06,66.614,335.549,8.796,87.558,6.8295,6.8603
1,2025-09-20,21.99,6.836,255.0,6.906,63.938,384.589,11.215,90.63,6.8603,6.8513
1,2025-09-21,19.517,6.283,255.0,6.912,65.982,355.545,10.544,85.98,6.8513,6.8641
1,2025-09-22,19.737,5.755,255.0,7.124,67.038,380.252,8.9,85.963,6.8641,6.849
1,2025-09-23,18.914,6.188,255.0,7.377,69.982,278.402,10.102,83.537,6.849,6.827
1,2025-09-24,19.497,5.407,255.0,7.182,67.153,363.628,9.232,89.802,6.827,6.8098
1,2025-09-25,19.966,4.559,255.0,7.31,70.55,257.638,8.81,85.344,6.8098,6.7675
1,2025-09-26,19.597,6.486,255.0,7.548,69.173,317.89,10.196,81.664,6.7675,6.7609
1,2025-09-27,22.819,5.401,255.0,7.369,83.649,414.825,9.171,87.747,6.7609,6.7257
1,2025-09-28,22.539,4.991,255.0,7.418,75.291,310.323,8.804,88.494,6.7257,6.7241
1,2025-09-29,21.826,6.102,255.0,7.274,83.379,376.927,10.917,86.647,6.7241,6.7454
1,2025-09-30,22.81,5.326,255.0,7.424,83.12,325.203,9.212,88.025,6.7454,6.7326
